Average mental scores per streaming service,,,,,,Hours per day vs mental scores,,,,,
Primary_streaming_service,Avg_Anxiety,Avg_Depression,Avg_Insomnia,Avg_OCD,,Listening_Hours_Group,Respondents,Avg_Anxiety,Avg_Depression,Avg_Insomnia,Avg_OCD
Spotify,5.9782,5.0917,3.7795,2.8035,,<1 hour,31,5.81,3.97,3.48,1.87
Pandora,5.2727,3.5455,2.2727,1.4545,,>6 hours,87,6.11,5.53,4.63,3.33
YouTube Music,5.3723,4.1277,3.6915,2.2872,,1-3 hours,433,5.67,4.58,3.46,2.41
I dont use a streaming service.,5.4225,4.0704,3.8169,2.3099,,4-6 hours,185,6.1,5.1,4.02,2.97
Apple Music,6.6275,5.098,3.3725,2.6667,,,,,,,
Other streaming service,5.28,4.3,3.94,2.4,,Mental health scores based on who listens to instrumentals,,,,,
NULL,9,8,9,7,,Instrumentalist,Respondents,Avg_Anxiety,Avg_Depression,Avg_Insomnia,Avg_OCD
,,,,,,1,235,5.95,4.83,3.86,2.7
Average mental scores based on favourite genre,,,,,,0,497,5.79,4.78,3.68,2.61
Fav_genre,Avg_Anxiety,Avg_Depression,Avg_Insomnia,Avg_OCD,,NULL,4,5.5,4.75,4.75,2.5
Folk,6.5667,5.0667,3.6333,2.2,,,,,,,
K pop,6.2308,4.4231,3.4615,2.5385,,Overall effect of music on mental scores,,,,,
Hip hop,6.2,5.8,3.4286,2.7143,,Music_effects,Count,Avg_Anxiety,Avg_Depression,Avg_Insomnia,Avg_OCD
Rock,6.1223,5.2394,3.883,2.6809,,NULL,8,4.75,4.125,2.375,1.875
Lofi,6.1,6.6,5.6,3.4,,0 effect,169,5.1243,4.3787,3.6686,2.3609
Pop,6.0789,4.4912,3.3684,2.8596,,Improve,542,6.048,4.8635,3.7565,2.7214
Jazz,5.9,4.5,3.85,2.8,,Worsen,17,6.7647,7.1765,4.5294,3.1176
Video game music,5.8864,4.4773,4,2.3864,,,,,,,
Metal,5.7614,5.0682,4.5568,2.3977,,BPM vs Mental Scores,,,,,
EDM,5.4865,5.2432,3.973,3,,BPM_Range,Count,Avg_Anxiety,Avg_Depression,Avg_OCD,Avg_Insomnia
Country,5.4,4.32,2.72,2.76,,0-79,47,5.766,4.8298,2.1277,3.5532
R&B,5.1714,3.8286,2.8857,2.7429,,80-99,108,5.6019,4.6204,3.0463,3.3519
Rap,5.0909,4,2.2727,3.1818,,100-119,131,6.1985,4.6183,2.7328,3.8321
Classical,4.8868,4.0755,3.7925,2.3774,,120-139,151,5.5894,5.0464,2.4106,3.9338
Gospel,4.8333,2.6667,5.3333,0.3333,,140-159,97,6.0412,5.3093,2.7938,4.3196
Latin,4.3333,3,3.3333,1.6667,,160-179,57,6.0175,4.7895,2.807,3.8246
,,,,,,180+,36,6.2778,4.9722,2.1667,3.6667
Top 3 genres with higher anxiety average,,,,,,,,,,,
Disorder,genre,AVG_score,,Top 3 genres with higher OCD average,,,,,,,
Anxiety,Folk,6.0923,,Disorder,genre,AVG_score,,,,,
Anxiety,Metal,6.0763,,OCD,EDM,2.8648,,,,,
Anxiety,EDM,6.021,,OCD,Gospel,2.8308,,,,,
,,,,OCD,Country,2.8244,,,,,
Top 3 genres with higher depression average,,,,,,,,,,,
Disorder,genre,AVG_score,,Top 3 genres with higher insomnia average,,,,,,,
Depression,Metal,5.2754,,Disorder,genre,AVG_score,,,,,
Depression,EDM,5.1469,,Insomnia,Metal,4.0593,,,,,
Depression,Rap,5.1362,,Insomnia,Latin,3.9693,,,,,
,,,,Insomnia,EDM,3.9487,,,,,
